id,value
ant,
ant.simonrodriguezi,
ant.Corpoeducacion.GreatSchools,18827,2347
ant.Corpoeducacion.CanTeachersFed,15575,9689
ant.Corpoeducacion.SAGEeducation,8649,616
ant.Corpoeducacion.educator,44641,291
ant.Corpoeducacion.cbookpress,719,0
ant.Corpoeducacion.kenlee,2123,223
ant.Corpoeducacion.MnDeptEd,17657,219
ant.Corpoeducacion.teacherportal,1041,6
ant.Corpoeducacion.TeachersNet,106455,1988
ant.Corpoeducacion.SchoolFamily,11354,47
ant.Corpoeducacion.JohnCorcoranFDN,649,66
ant.Corpoeducacion.EdEvolving,11422,181
ant.Corpoeducacion.mnmsba,3798,5877
ant.Corpoeducacion.Studydotcom,8366,626
ant.Corpoeducacion.hgse,135656,4056
ant.Corpoeducacion.EducationNext,138572,2423
ant.Corpoeducacion.MHEducation,61077,5350
ant.Corpoeducacion.Harvard_Ed_Pub,10449,228
ant.Corpoeducacion.nsvf,30536,492
ant.Corpoeducacion.globaleducation,34878,467
ant.Corpoeducacion.LinkEducation,673,0
ant.Corpoeducacion.GameClassroom,3534,37
ant.Corpoeducacion.aedorg,1307,1
ant.Corpoeducacion.edvoters,6334,2478
ant.Corpoeducacion.getschooled,64045,26568
ant.Corpoeducacion.UFT,23719,3919
ant.Corpoeducacion.OECDEduSkills,86082,496
ant.Corpoeducacion.News4Educators,2295,0
ant.Corpoeducacion.NYCSchools,150582,3353
ant.Corpoeducacion.USNewsEducation,293575,1377
ant.Corpoeducacion.EdWeekTeacher,265421,996
ant.Corpoeducacion.OnSpecEd,13605,168
ant.Corpoeducacion.dviadero,2674,0
ant.Corpoeducacion.DebMeier,17834,8526
ant.Corpoeducacion.nancyflanagan,6615,13431
ant.Corpoeducacion.SecretaryKing44,276849,505
ant.Corpoeducacion.FiftyCAN,26427,5232
ant.Corpoeducacion.EWAedmoney,1251,0
ant.Corpoeducacion.SchooledInSport,1122,0
ant.Corpoeducacion.PencilsOfPromis,228033,4659
ant.Corpoeducacion.UmSalma,3147,773
ant.Corpoeducacion.Alexandra_Rice,925,364
ant.Corpoeducacion.EdWeekPhoto,1015,13
ant.Corpoeducacion.CNNSchools,14119,1
ant.Corpoeducacion.Diette,1375,147
ant.Corpoeducacion.chronicle,232127,8
ant.Corpoeducacion.OfficeofEdTech,139200,2352
ant.Corpoeducacion.rweingarten,82189,2138
ant.Corpoeducacion.EdTrust,85779,17541
ant.Corpoeducacion.NFHS_Org,22986,7368
ant.Corpoeducacion.cathycardno,303,59
ant.Corpoeducacion.topedutweets,55419,6
ant.Corpoeducacion.educationnation,271373,14018
ant.Corpoeducacion.educationweek,761408,131
ant.Corpoeducacion.Edudemic,218676,94
ant.Corpoeducacion.revista_rsevzla,12986,501
ant.Corpoeducacion.jjdeharo,8192,72
ant.Corpoeducacion.MinAmbienteCo,485514,7892
ant.Corpoeducacion.BrandColombia,32397,248
ant.Corpoeducacion.APC_News,9169,1438
ant.Corpoeducacion.Uniandes,104813,507
ant.Corpoeducacion.TwitPic,7485105,0
ant.Corpoeducacion.NoticiasUno,1482578,2591
ant.Corpoeducacion.Forum3setor,678,0
ant.Corpoeducacion.FCSanFrancisco,6415,7206
ant.Corpoeducacion.OECD,557578,1744
ant.Corpoeducacion.Oxfam,829933,14628
ant.Corpoeducacion.hacesfalta,39840,1564
ant.Corpoeducacion.Mastermania,2336,261
ant.Corpoeducacion.empresasemerges,885,0
ant.Corpoeducacion.caritasgirona,3388,366
ant.Corpoeducacion.globalcompact,85446,2788
ant.Corpoeducacion.EmpresarialUIS,721,0
ant.Corpoeducacion.sergiorengifo,885,2687
ant.Corpoeducacion.RedForumEmpresa,3580,1146
ant.Corpoeducacion.Alpina,41881,3765
ant.Corpoeducacion.fdncenter,139829,5002
ant.Corpoeducacion.GIFE,8679,343
ant.Corpoeducacion.Diego_Molano,24312,4504
ant.Corpoeducacion.NegSos,2260,7
ant.Corpoeducacion.Shell,496122,1433
ant.Corpoeducacion.REDBavaria,56069,1447
ant.Corpoeducacion.desarollosocial,938,0
ant.Corpoeducacion.FundacionAVINA,11346,1508
